Id,Address,City,State,Zip,Google_lat,Google_long,Here_lat,Here_long,Tamu_lat,Tamu_long,Maplarge_lat,Maplarge_long,Uscensus_long,Uscensus_lat,Geonames_lat,Geonames_long
46,"24401 Ridge Route Dr, Ste 101-A",Laguna Hills,CA,92653,33.6216356,-117.7324459,33.6216099,-117.73214,33.6216118,-117.7321359,33.62161255,-117.7321396,,,33.62113,-117.7279
47,25758 La Paz Rd,Laguna Hills,CA,92653,33.595208,-117.6808158,33.59528,-117.68093,33.5915649,-117.6984844,33.59527206,-117.6809235,,,,
48,"27001 Moulton Pkwy, Ste A120",Laguna Hills,CA,92656,33.5708407,-117.7007274,33.57086,-117.7007,33.5708633,-117.7006922,33.57125144,-117.700316,33.570713,-117.69983,33.5714,-117.69996
49,10772 Los Alamitos Blvd,Los Alamitos,CA,90720,33.8061531,-118.0713425,33.80608,-118.07143,33.806071,-118.0714512,33.806125,-118.0719,,,33.80562,-118.07193
50,3951 W Ball Rd,Los Alamitos,CA,90720,33.817912,-118.0640477,33.81799,-118.06377,33.81776715,-118.0657143,33.8177,-118.0656918,33.817684,-118.06571,33.81768,-118.06571
51,23012 Los Alisos Blvd,Mission Viejo,CA,92691,33.6283224,-117.6652562,33.6282264,-117.6657626,33.6283993,-117.6652308,33.6269774,-117.6793452,33.626938,-117.679436,33.62673,-117.68006
52,27271 Trabuco Rd,Mission Viejo,CA,92691,33.6136308,-117.6547602,33.61362,-117.65477,33.6136196,-117.6547729,33.61362076,-117.6547699,,,33.61331,-117.65441
53,"4221 MacArthur Blvd, Ste B1",Newport Beach,CA,92660,33.6640112,-117.8642617,33.66424,-117.86435,33.66472872,-117.8639858,33.66464816,-117.8640936,33.66566,-117.86405,33.66545,-117.86401
54,3197 N Glassell St,Orange,CA,92865,33.841772,-117.8517991,33.84189,-117.85188,33.84079338,-117.8522272,33.84178925,-117.8518143,33.840782,-117.85231,33.84153,-117.85229
55,"108 W Katella Ave, Ste A",Orange,CA,92867,33.8085533,-117.8535336,33.80883,-117.8535,33.8083306,-117.8541978,33.80833054,-117.8541946,,,33.80907,-117.85445
56,26572 Junipero Serra Rd,San Juan Capistrano,CA,92675,33.5197348,-117.6670827,33.51984,-117.66693,33.5198401,-117.6669331,33.51984024,-117.6669312,33.519924,-117.668274,33.52002,-117.66818
57,1700 E Dyer Rd,Santa Ana,CA,92705,33.7081339,-117.8500309,33.70812,-117.85,33.7076349,-117.8501378,33.70811844,-117.8499985,33.708492,-117.851585,33.70849,-117.85089
58,2910 S Main St,Santa Ana,CA,92707,33.7081051,-117.868299,33.7082,-117.86834,33.708181,-117.8683819,33.70817947,-117.8683853,33.70853,-117.86803,33.70829,-117.86801
59,15991 Magnolia Ave,Westminster,CA,92683,33.7308605,-117.9726924,33.73065,-117.97251,33.7306477,-117.9725248,33.7304,-117.972,33.73313,-117.97211,33.73128,-117.9721
60,6501 Westminster Blvd,Westminster,CA,92683,33.7593894,-118.0156856,33.75934,-118.01549,33.7593566,-118.0155017,33.7592,-118.0159,33.758995,-118.0158,,
61,17465 Imperial Hwy,Yorba Linda,CA,92886,33.898855,-117.8294295,33.89888,-117.82906,33.8983561,-117.8292244,33.89846949,-117.8291918,33.89834,-117.82939,33.89866,-117.83012
62,9575 Valley View St,Cypress,CA,90630,33.8235106,-118.0283832,33.82267,-118.02862,33.8226754,-118.0286132,33.8226738,-118.0286102,33.82337,-118.02817,33.82369,-118.02816
63,535 N Commonwealth Ave,Fullerton,CA,92831,33.874673,-117.884433,33.8748698,-117.884422,33.8705972,-117.9346015,33.87478571,-117.8842,33.875195,-117.88419,33.87503,-117.88418
64,403 S Brookhurst,Fullerton,CA,92833,33.8655131,-117.959795,33.86557,-117.95971,33.865582,-117.9597155,33.82771607,-117.9591,,,33.86565,-117.95939
65,1744 S Main St,Santa Ana,CA,92707,33.7251828,-117.8680726,33.7244952,-117.8679649,33.72521518,-117.8679187,33.725225,-117.868,33.72522,-117.867836,33.72535,-117.86782
66,2241 N Fairview St,Santa Ana,CA,92706,33.7666035,-117.9021291,33.7667793,-117.9027651,33.76653521,-117.9028422,33.76648947,-117.9029,,,33.76635,-117.90293
67,"24601 Raymond Way, Ste 9B",Lake Forest,CA,92630,33.621803,-117.7005441,33.62148,-117.7006,33.62198626,-117.7015403,33.62222643,-117.7019264,33.621834,-117.70154,33.62211,-117.70179
68,117 N Glassell St,Orange,CA,92866,33.788577,-117.8528858,33.7885123,-117.8529651,33.788552,-117.8529428,33.78855133,-117.8529434,,,,
69,3333 Fairview Rd,Costa Mesa,CA,92626,33.6923231,-117.908908,33.69321,-117.90945,33.6932148,-117.9094544,33.69321442,-117.9094543,33.690388,-117.90787,33.68926,-117.90787
70,1761 S Harbor Blvd,Anaheim,CA,92802,33.8039629,-117.9157005,33.80395,-117.91576,33.8039957,-117.915622,33.80399704,-117.9156189,33.80442,-117.915306,33.8051,-117.91505
71,"1177 S State College Blvd, Ste A",Anaheim,CA,92806,33.8193498,-117.8898039,33.81937,-117.88964,33.8193792,-117.8897695,33.8193779,-117.8897705,,,33.82013,-117.88926
72,2530 W La Palma Ave,Anaheim,CA,92801,33.8463725,-117.9734857,33.8459,-117.97365,33.8467567,-117.9738252,33.84592056,-117.9736481,,,33.84684,-117.97497
73,"25380 Marguerite Pkwy, Ste A",Mission Viejo,CA,92692,33.5942021,-117.6592286,33.59431,-117.65918,33.5943091,-117.6591834,33.59223196,-117.6596824,,,,
74,"16691 Gothard St, Ste K",Huntington Beach,CA,92647,33.719725,-118.0005847,33.71954,-118.00056,33.7197437,-118.0007675,33.71974182,-118.0007706,33.720078,-118.00016,33.72111,-118.00017
75,8081 Starr St,Stanton,CA,90680,33.81521,-117.99191,33.81519,-117.99195,33.8152102,-117.9919098,33.81520844,-117.9919128,33.814716,-117.99179,33.81471,-117.99108
76,"2710 Alton Pkwy, Ste 113",Irvine,CA,92606,33.6877021,-117.8341804,33.68759,-117.83401,33.6875911,-117.8340116,33.68759155,-117.8340149,33.68885,-117.8326,33.68862,-117.83225
77,"13662 Newport Ave, Ste C",Tustin,CA,92780,33.7416015,-117.8175421,33.74172,-117.81804,33.7417178,-117.8180392,33.74171829,-117.8180389,33.741894,-117.81834,33.74112,-117.81935
78,1402 Sycamore Ave,Tustin,CA,92780,33.7256277,-117.8260156,33.7248,-117.82542,33.7247964,-117.8254209,33.7247963,-117.8254242,33.7273,-117.826836,33.72603,-117.82501
79,1830 Main St,Irvine,CA,92614,33.6853898,-117.8561892,33.68533,-117.85621,33.68643143,-117.8584348,33.68535233,-117.8561325,33.686535,-117.85847,33.68664,-117.8587
80,"12901 N Harbor Blvd, Ste A2-A",Garden Grove,CA,92840,33.7763527,-117.9185841,33.77616,-117.91866,33.7761434,-117.9187043,33.77575948,-117.9179991,33.7755,-117.918144,33.77626,-117.91671
81,2947 W Ball Rd,Anaheim,CA,92804,33.8179817,-117.9914347,33.8175849,-117.9915544,33.8180229,-117.9911391,33.81802368,-117.9911423,33.817448,-117.990974,33.81743,-117.99162
82,"518 S Brookhurst, Ste 6",Anaheim,CA,92804,33.8256518,-117.958079,33.8257782,-117.9588051,33.8255709,-117.9585237,33.82613043,-117.9587,33.82618,-117.95892,33.82633,-117.95893
83,12381 Dale St,Garden Grove,CA,92841,33.78298,-117.985529,33.78298,-117.98553,33.7829802,-117.9855293,33.8157,-117.9846,33.782776,-117.98407,33.78321,-117.98407
84,5011 Lincoln Ave,Cypress,CA,90630,33.8319996,-118.0455729,33.83206,-118.0455,33.8320589,-118.0455029,33.83205795,-118.0455017,33.831783,-118.045296,33.83179,-118.04356
85,4541 Campus Dr,Irvine,CA,92612,33.6501367,-117.8314176,33.6497699,-117.83172,33.6501502,-117.8313513,33.6501503,-117.8313522,33.648582,-117.83118,33.6486,-117.83105
86,24251 Muirlands Blvd,Lake Forest,CA,92630,33.6304198,-117.7064481,33.63018,-117.70643,33.630204,-117.7064553,33.6283,-117.7037,33.6278,-117.7031,33.6275,-117.70279
87,4550 E Chapman Ave,Orange,CA,92869,33.7866167,-117.8042818,33.78699,-117.80421,33.78763913,-117.8043075,33.78678131,-117.8043976,33.787724,-117.8043,33.78773,-117.80432
88,16600 Bolsa Chica Rd,Huntington Beach,CA,92649,33.7212184,-118.0408117,33.72148,-118.04077,33.72140005,-118.0415032,33.7732,-118.0392,33.72147,-118.04159,33.72187,-118.0416
89,20511 Lake Forest Dr,Lake Forest,CA,92630,33.6644404,-117.6667466,33.6644,-117.66675,33.6644384,-117.6667479,33.66444016,-117.666748,33.64613,-117.68794,33.64575,-117.68835
90,24270 El Toro Rd,Laguna Woods,CA,92630,33.6099287,-117.723325,33.6106678,-117.7238415,33.6112574,-117.7230998,33.6128,-117.7182704,,,33.61265,-117.71828
91,13900 Goldenwest St,Westminster,CA,92704,33.7604318,-118.0064404,33.7603,-118.00681,33.7601095,-118.0068283,33.7737,-118.0074,33.759773,-118.00717,33.76004,-118.00718
92,18912 MacArthur Blvd,Irvine,CA,92612,33.6734869,-117.8625533,33.67356,-117.86258,33.67197756,-117.8637711,33.6735611,-117.8625717,33.674534,-117.86237,33.67341,-117.86308
93,"391 S State College Blvd, Ste Y",Brea,CA,92821,33.9111472,-117.8894722,33.91138,-117.88911,33.9113751,-117.8891069,33.91022278,-117.8890622,,,33.91019,-117.88889
94,"23411 Aliso Viejo Pkwy, Ste C",Aliso Viejo,CA,92656,33.5878082,-117.7214846,33.58786,-117.72143,33.5878614,-117.7214308,33.587,-117.7201651,33.587193,-117.720276,33.58714,-117.72066
95,"27782 Aliso Creek, Ste A200",Aliso Viejo,CA,92656,33.559303,-117.7248064,33.5589878,-117.7248421,33.5762074,-117.7303638,33.6389,-117.9011,33.55859,-117.724846,33.55844,-117.72467
96,27882 Aliso Creek Rd,Aliso Viejo,CA,92656,33.5580321,-117.7236381,33.55816,-117.7237,33.5581614,-117.7236961,33.55816269,-117.7236938,33.557716,-117.72406,33.55844,-117.72467
97,28000 Wolverine Way,Aliso Viejo,CA,92656,33.5613832,-117.7193468,33.56272,-117.71931,33.5627233,-117.7193465,33.5601,-117.7186547,,,,
98,9 Journey,Aliso Viejo,CA,92656,33.5680737,-117.7289988,33.56804,-117.72917,33.5680395,-117.7291701,33.56803894,-117.7291718,33.567966,-117.728226,33.56818,-117.72768
99,111 Park Ave,Aliso Viejo,CA,92656,33.5801619,-117.7123326,33.5796599,-117.7136,33.5796551,-117.713604,33.57965469,-117.7136078,33.580822,-117.71299,33.58025,-117.71344
100,2445 E Coast Hwy,Corona Del Mar,CA,92625,33.6037357,-117.8739758,33.6038392,-117.8740149,33.60102692,-117.8661364,33.60480851,-117.874717,,,33.86684,-117.61916
101,12549 Harbor Blvd,Garden Grove,CA,92840,33.7803663,-117.9157957,33.7810998,-117.9150749,33.78006774,-117.9149275,33.78008367,-117.915,33.780064,-117.91485,33.78004,-117.91484
102,10100 Westminster Ave,Garden Grove,CA,92843,33.7589132,-117.9533985,33.7593551,-117.9530617,33.7594571,-117.9531627,33.76,-117.8967,,,33.75225,-117.95229
103,"14 Hughes, Ste B103",Irvine,CA,92618,33.6529142,-117.7180384,33.65343,-117.71806,33.65449109,-117.7159723,33.65343094,-117.7180557,33.65441,-117.71639,33.65355,-117.71764
104,9451 Indianapolis Ave,Huntington Beach,CA,92646,33.6653257,-117.9629066,33.6654,-117.96297,33.66513379,-117.9632282,33.6652,-117.9631878,33.66505,-117.963234,33.66504,-117.96324
105,2791 E Lincoln Ave,Anaheim,CA,92806,33.8375336,-117.8718966,33.83754,-117.87207,33.8375671,-117.872126,33.83756638,-117.8721237,33.837128,-117.871796,33.83717,-117.87214
106,5472 Orangethorpe Ave,La Palma,CA,90623,33.8584047,-118.0378669,33.85833,-118.03793,33.8583296,-118.0379271,33.85832977,-118.0379257,33.85874,-118.03919,33.85874,-118.03962
107,29080 Portola Pkwy,Lake Forest,CA,92630,33.662844,-117.653722,33.66268,-117.65371,33.6626774,-117.6537113,33.677,-117.6596,,,,
108,3414 S Main St,Santa Ana,CA,92707,33.7003405,-117.8684942,33.70038,-117.86853,33.7003828,-117.8685336,33.70038223,-117.8685303,33.702385,-117.868164,33.70194,-117.86818
109,2101 S Harbor Blvd,Anaheim,CA,92802,33.7956262,-117.9157187,33.79576,-117.91552,33.795662,-117.9156752,33.79566193,-117.9156723,33.795944,-117.91509,33.79517,-117.91506
110,21452 Brookhurst St,Huntington Beach,CA,92646,33.6511511,-117.9531369,33.651,-117.95313,33.6510042,-117.9531402,33.65100479,-117.9531403,,,33.65152,-117.95352
111,14111 Jeffrey Rd,Irvine,CA,92620,33.695612,-117.763395,33.6956105,-117.7630603,33.6956235,-117.763346,33.69562531,-117.7633438,33.691826,-117.76662,33.69168,-117.76675
112,17475 Brookhurst St,Fountain Valley,CA,92708,33.7093667,-117.9548319,33.70934,-117.95486,33.7093426,-117.9548551,33.70934296,-117.9548569,,,33.70967,-117.95432
113,13361 Harbor Blvd,Garden Grove,CA,92843,33.7690575,-117.920781,33.76903,-117.9208,33.7690181,-117.9208017,33.76978969,-117.9202,33.769062,-117.920364,33.76979,-117.9202
114,102 E Yorba Linda Blvd,Placentia,CA,92870,33.8875868,-117.8655909,33.8876,-117.8655,33.887637,-117.8655442,33.8894,-117.8542,,,33.88795,-117.86467
115,9472 Katella Ave,Garden Grove,CA,92804,33.8027262,-117.9679002,33.80266,-117.96795,33.8025095,-117.9679651,33.8031,-117.9690282,33.80308,-117.96794,33.80309,-117.96818
116,6002 Bolsa Ave,Huntington Beach,CA,92647,33.744106,-118.023981,33.74393,-118.02377,33.7440623,-118.0239423,33.74406052,-118.023941,33.7444,-118.02422,33.74439,-118.02341
117,524 N Magnolia Ave,Anaheim,CA,92801,33.8384309,-117.9755323,33.8383726,-117.9759151,33.8384455,-117.9755183,33.83844376,-117.9755173,33.839314,-117.97604,33.83929,-117.97605
118,1565 S Disneyland Dr,Anaheim,CA,92802,33.8084014,-117.9249917,33.8087889,-117.9242847,33.8084404,-117.9249411,33.80883026,-117.9246292,,,33.8089,-117.95394
119,1001 S Lemon St,Fullerton,CA,92832,33.8619027,-117.9201516,33.8623487,-117.9200149,33.86574171,-117.9199051,33.8657,-117.9198,,,33.86574,-117.91982
120,"20 City Blvd West, Ste E",Orange,CA,92868,33.7825337,-117.8925367,33.78324,-117.89294,33.7837441,-117.8931261,33.7803,-117.8949719,33.780468,-117.89512,33.78276,-117.89009
121,2457 Park Ave,Tustin,CA,92782,33.696791,-117.8289192,33.698261,-117.8271216,33.6973743,-117.8283104,33.69737244,-117.8283081,,,,
122,1500 S Anaheim Blvd,Anaheim,CA,92805,33.8097829,-117.904578,33.80955,-117.90335,33.8096694,-117.9054232,33.80966949,-117.905426,33.81051,-117.906044,33.8116,-117.90619
123,2390 American Way St,Orange,CA,92865,33.8277511,-117.8590736,33.82779,-117.85898,33.827808,-117.8588583,33.82780838,-117.8588562,33.828495,-117.858345,33.82841,-117.85834
124,2657 W Lincoln Ave,Anaheim,CA,92801,33.8325021,-117.9788411,33.83254,-117.97914,33.8325817,-117.9788603,33.83258057,-117.9788589,33.832195,-117.9781,33.8321,-117.98398
125,800 W Katella Ave,Anaheim,CA,92802,33.8003652,-117.9208568,33.80234,-117.92071,33.8022565,-117.9198723,33.80248642,-117.920578,33.803314,-117.918106,33.80332,-117.91818
126,811 W Lincoln Ave,Anaheim,CA,92805,33.8336596,-117.9241212,33.83542,-117.92504,33.8334971,-117.924523,33.8336525,-117.9237213,,,33.83318,-117.9239
127,2060 S Harbor Blvd,Anaheim,CA,92802,33.7969635,-117.9141942,33.79688,-117.91451,33.7968787,-117.9145023,33.79687881,-117.914505,,,33.79761,-117.91513
128,900 S Disneyland Dr,Anaheim,CA,92802,33.8193494,-117.9211632,33.8193399,-117.92141,33.8192983,-117.921826,33.81933594,-117.9214096,33.819878,-117.92283,33.8203,-117.92298
129,700 W Convention Way,Anaheim,CA,92802,33.7988769,-117.9181706,33.79874,-117.91825,33.7985176,-117.9187628,33.79851913,-117.9187622,33.799698,-117.91756,33.79972,-117.91629
130,12015 Harbor Blvd,Garden Grove,CA,92840,33.7876508,-117.9171194,33.787545,-117.9151149,33.7877147,-117.9176739,33.7885913,-117.9151,33.78827,-117.91489,33.78641,-117.91487
131,470 Ocean Ave,Laguna Beach,CA,92651,33.54573,-117.7820609,33.54576,-117.78209,33.5457301,-117.7820609,33.54573059,-117.7820587,33.545517,-117.782,33.54493,-117.78238
132,"13912 Ponderosa St, Ste I",Santa Ana,CA,92705,33.7609465,-117.8330437,33.7608,-117.83317,33.7607872,-117.8331569,33.76078796,-117.8331604,33.762558,-117.83358,33.76224,-117.83358
133,1456 S Coast Hwy,Laguna Beach,CA,92651,33.5315574,-117.7741919,33.5314,-117.7742234,33.53141154,-117.7741981,33.5313204,-117.7743204,33.531345,-117.774254,33.5314,-117.77433
134,1605 Alabama St,Huntington Beach,CA,92648,33.6714724,-117.996931,33.6714145,-117.9969069,33.67135729,-117.9968115,33.67024956,-117.9967,,,33.67098,-117.99672
135,2000 E Gene Autry Way,Anaheim,CA,92806,33.8000673,-117.8832376,33.79936,-117.88387,33.8002814,-117.8825792,33.80028152,-117.882576,33.799706,-117.88916,33.79971,-117.88905
136,"270 E 17th St, Ste 14",Costa Mesa,CA,92627,33.634054,-117.9157076,33.6335139,-117.9157638,33.6341054,-117.9158501,33.63410568,-117.9158478,33.63372,-117.91628,33.63365,-117.91619
137,20062 Laguna Canyon Rd,Laguna Beach,CA,92651,33.5811872,-117.7602893,33.58158,-117.76048,33.5814419,-117.7604077,33.58144379,-117.7604065,33.581436,-117.76144,33.56316,-117.76781
138,1611 W Sunflower Ave,Santa Ana,CA,92704,33.6963141,-117.9033981,33.6944249,-117.8902324,33.72055891,-117.9080367,33.6943,-117.8898,,,33.69429,-117.89157
139,6011 Warner Ave,Huntington Beach,CA,92647,33.7160974,-118.0232945,33.71613,-118.02352,33.7159225,-118.0234172,33.71592331,-118.0234146,33.715366,-118.02372,33.71537,-118.02286
140,16569 Von Karman Ave,Irvine,CA,92606,33.697524,-117.834868,33.6980557,-117.8341408,33.697866,-117.8341227,33.69790407,-117.8341788,33.697495,-117.83437,33.69583,-117.83602
141,302 N Broadway,Santa Ana,CA,92701,33.7473388,-117.8699613,33.7473825,-117.8698649,33.7431789,-117.8700846,33.74711923,-117.8699,,,33.74736,-117.86974
142,"30262 Crown Valley Pkwy, Ste A",Laguna Niguel,CA,92677,33.5222911,-117.7147033,33.52225,-117.71485,33.5222585,-117.7148415,33.52337254,-117.7151487,33.524742,-117.71357,33.52506,-117.7132
143,2114 E Lincoln Ave,Anaheim,CA,92806,33.8387055,-117.8872749,33.8390445,-117.8844292,33.8392498,-117.887345,33.83924866,-117.8873444,33.839752,-117.887886,33.83978,-117.88805
144,22872 Avenida Empressa,Rancho Santa Margarita,CA,92688,33.6305937,-117.6040986,33.63066,-117.60438,33.62860461,-117.6042862,33.6197,-117.6121,,,,
